"","path","frac_train","split_seed","block_seed_train","block_seed_test","block_order_train_for_BWM","block_order_test_for_BWM","train_pattern","train_pattern_seed","test_pattern","common_blocks","ntree","mtry","min_node_size","AUC","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","BrierScore","repetition","approach"
"Accuracy10","./Data/Raw/BRCA.Rda",0.75,12345679,1234568,7654322,"clin - cnv - rna - mirna","clin - mirna - cnv - rna",5,12346,3,"clin - mirna - cnv",500,243,1,0.854225852272727,0.782407407407407,0.602272727272727,0.90625,0.815384615384615,0.602272727272727,0.69281045751634,0.157491840176472,1,"Imputation"
"Accuracy11","./Data/Raw/BRCA.Rda",0.75,12345680,1234569,7654323,"clin - mirna - cnv - rna","clin - rna - mirna - cnv",5,12347,3,"clin - rna - mirna",500,154,1,0.883676994494224,0.847222222222222,0.610169491525424,0.936305732484076,0.782608695652174,0.610169491525424,0.685714285714286,0.136166531213572,2,"Imputation"
"Accuracy12","./Data/Raw/BRCA.Rda",0.75,12345681,1234570,7654324,"clin - cnv - rna - mirna","clin - rna - cnv - mirna",5,12348,3,"clin - rna - cnv",500,285,1,0.928007518796993,0.875,0.75,0.942857142857143,0.876923076923077,0.75,0.808510638297872,0.119202667521521,3,"Imputation"
"Accuracy13","./Data/Raw/BRCA.Rda",0.75,12345682,1234571,7654325,"clin - mirna - rna - cnv","clin - mirna - rna - cnv",5,12349,3,"clin - mirna - rna",500,154,1,0.939007092198582,0.87037037037037,0.746666666666667,0.936170212765957,0.861538461538462,0.746666666666667,0.8,0.12609504855285,4,"Imputation"
"Accuracy14","./Data/Raw/BRCA.Rda",0.75,12345683,1234572,7654326,"clin - rna - mirna - cnv","clin - mirna - cnv - rna",5,12350,3,"clin - mirna - cnv",500,243,1,0.861121323529412,0.782407407407407,0.6125,0.882352941176471,0.753846153846154,0.6125,0.675862068965517,0.148384839281095,5,"Imputation"
"Accuracy15","./Data/Raw/BRCA.Rda",0.75,12345679,1234568,7654322,"clin - cnv - rna - mirna","clin - mirna - cnv - rna",5,12346,4,"clin - mirna - cnv - rna",500,286,1,0.865811434659091,0.810185185185185,0.681818181818182,0.8984375,0.821917808219178,0.681818181818182,0.745341614906832,0.152361594187243,1,"Imputation"
"Accuracy16","./Data/Raw/BRCA.Rda",0.75,12345680,1234569,7654323,"clin - mirna - cnv - rna","clin - rna - mirna - cnv",5,12347,4,"clin - rna - mirna - cnv",500,286,1,0.89668573896146,0.856481481481482,0.661016949152542,0.929936305732484,0.78,0.661016949152542,0.715596330275229,0.128275140912095,2,"Imputation"
"Accuracy17","./Data/Raw/BRCA.Rda",0.75,12345681,1234570,7654324,"clin - cnv - rna - mirna","clin - rna - cnv - mirna",5,12348,4,"clin - rna - cnv - mirna",500,286,1,0.930263157894737,0.87962962962963,0.75,0.95,0.890625,0.75,0.814285714285714,0.119050535989964,3,"Imputation"
"Accuracy18","./Data/Raw/BRCA.Rda",0.75,12345682,1234571,7654325,"clin - mirna - rna - cnv","clin - mirna - rna - cnv",5,12349,4,"clin - mirna - rna - cnv",500,286,1,0.930070921985816,0.861111111111111,0.786666666666667,0.900709219858156,0.808219178082192,0.786666666666667,0.797297297297297,0.126691225055954,4,"Imputation"
"Accuracy19","./Data/Raw/BRCA.Rda",0.75,12345683,1234572,7654326,"clin - rna - mirna - cnv","clin - mirna - cnv - rna",5,12350,4,"clin - mirna - cnv - rna",500,286,1,0.893520220588235,0.796296296296296,0.6,0.911764705882353,0.8,0.6,0.685714285714286,0.143089219135802,5,"Imputation"
